Roof_Door_01,-51,0,10.5,0,1,0,0
Floor_01,-51,1.704744E-06,10.5,0,0.7071068,0.7071068,0
Door_Arch_01,-52.5,0,1.5,-0.5000001,0.5,0.5,0.5000001
Roof_01,-51,0,1.5,0,0.7071068,0.7071068,0
Floor_01,-51,1.704744E-06,19.5,0,0.7071068,0.7071068,0
Wall_Simple_01,-51,0,-3,0,-1.629207E-07,0,-1
Floor_01,-51,0,-3,0,1,0,0
Floor_01,-51,0,1.5,0,1,0,0
Roof_Angle_01,-46.5,0,19.5,0,0.7071067,0,-0.7071068
Wall_Simple_01,-51,-7.709606E-07,10.5,0.7071068,-1.152023E-07,-1.152023E-07,-0.7071067
Floor_01,-51,1.704744E-06,1.5,0,0.7071068,0.7071068,0
Wall_Simple_01,-51,0,10.5,0,-1.629207E-07,0,-1
Roof_Door_01,-51,0,10.5,0,0.7071068,0.7071068,0
Roof_01,-51,0,1.5,0,1,0,0
Roof_Angle_01,-51,1.788139E-07,-3,0,0.7071068,0.7071068,0
Door_Arch_01,-52.5,0,1.5,0,0.7071067,0,0.7071068
Roof_01,-51,0,15,0,1,0,0
Room_Big_Part_01,-51,0,6,0,1,0,0
Collider_03,-50.475,0,-5.099999,0,0.9283416,0,0.3717282
Wall_Arc_90_02,-51,0,15,0,1,0,0
Floor_01,-51,1.704744E-06,15,0,0.7071068,0.7071068,0
Collider_02,-46.44,0,19.515,0,0.7828159,0,-0.6222534
Collider_01,-51,0,15,0,-0.1280069,0,-0.9917734
Wall_Arc_90_02,-46.5,1.788139E-07,-7.5,-0.5000001,0.5,0.5,0.5000001
Floor_Small_01,-51,3.161153E-06,10.5,0.5000001,0.5,0.5,-0.5000001
Collider_01,-46.5,0,-7.5,0,0.6107752,0,-0.7918041
Roof_01,-22.5,0,10.5,-0.5,-0.5000001,-0.5000001,0.5
Roof_01,-22.5,0,10.5,0,-0.7071068,0,0.7071067
Door_Arch_01,-22.5,0,1.5,0,1,0,-1.629207E-07
Door_Arch_01,-22.5,0,1.5,1.152023E-07,0.7071068,0.7071068,-1.152023E-07
Wall_Simple_01,0,0,-13.5,0,-0.7071068,0,0.7071067
Wall_Simple_01,0,-7.709606E-07,-13.5,-0.5,-0.5,-0.5000001,0.4999999
red_square_drone_door,0.4226201,2.67,3.165232,0,0.7071068,0,0.7071068
Roof_Door_01,-22.5,0,1.5,0,0.7071068,0,0.7071067
Roof_Door_01,-22.5,0,1.5,-0.5,0.5000001,0.5000001,0.5
red_square_drone_door (1),0.67,2.04,-4.31,0,0.8677361,0,0.4970252
Floor_01,4.5,1.704744E-06,-4.5,-0.7071068,0,0,0.7071068
Floor_01,4.5,0,-4.5,0,0,0,1
aeroastro_poster,4.67,2.44,8.32,0.5,-0.5,0.5,0.5
Light_01,-18.03,5.625,-4.485,-0.7071068,0,0,0.7071068
Spotlight,-18.03,4.2525,-4.485,0.7071068,2.842171E-14,2.842171E-14,0.7071067
Light_01,-18.03,5.7,-4.485,0,0,0,1
red_square_drone_door (10),-46.41,2.510287,9.77,0,0.5046106,0,-0.8633471
Floor_01,4.5,0,6,0,0,0,1
Floor_01,4.5,1.704744E-06,6,-0.7071068,0,0,0.7071068
Door_Arch_01,-4.5,0,6,1.152023E-07,0.7071068,0.7071068,-1.152023E-07
Door_Arch_01,-4.5,0,6,0,1,0,-1.629207E-07
Light_01,-32.97,5.625,15.015,-0.7071068,0,0,0.7071068
Roof_01,4.5,0,0,0,0,0,1
Roof_01,4.5,0,2.257465E-07,-0.7071068,0,0,0.7071068
Floor_01,-9,0,6,0,0,0,1
Floor_01,-9,1.704744E-06,6,-0.7071068,0,0,0.7071068
Wall_Simple_01,4.5,-7.709606E-07,10.5,1.152023E-07,0.7071067,0.7071068,-1.152023E-07
Wall_Simple_01,4.5,0,10.5,0,1,0,-1.629207E-07
Spotlight,-32.97,4.2,15.015,0.7071068,2.842171E-14,2.842171E-14,0.7071067
Door_Arch_01,4.5,0,4.5,-0.7071068,0,0,0.7071068
Door_Arch_01,4.5,0,4.5,0,0,0,1
Light_01,-32.97,5.625,-3,-0.7071068,0,0,0.7071068
red_square_drone_door (6),-27.85,2.67,6.470001,0,1,0,0
Wall_Simple_01,-4.5,0,0,0,0,0,1
Wall_Simple_01,-4.5,-7.709606E-07,0,-0.7071068,0,0,0.7071067
Roof_01,-4.5,0,4.5,0,1,0,-1.629207E-07
Roof_01,-4.5,0,4.5,1.152023E-07,0.7071068,0.7071068,-1.152023E-07
Floor_01,0,1.704744E-06,6,-0.7071068,0,0,0.7071068
Floor_01,0,0,6,0,0,0,1
Door_Left_01,-52.5,0,1.5,0,0.7071068,0,0.7071068
Door_Left_01,-52.5,1.886315E-06,1.5,-0.5000001,0.5000001,0.5000001,0.5000001
Floor_01,-18,1.704744E-06,-4.5,-0.7071068,0,0,0.7071068
Floor_01,-18,0,-4.5,0,0,0,1
Floor_01,0,0,-4.5,0,0,0,1
Floor_01,0,1.704744E-06,-4.5,-0.7071068,0,0,0.7071068
Roof_Angle_01,-22.5,0,-9,0,1,0,-1.629207E-07
Roof_Angle_01,-22.5,1.788139E-07,-9,1.152023E-07,0.7071068,0.7071068,-1.152023E-07
Floor_Small_01,-13.5,3.161153E-06,-1.184642E-06,-0.7071068,0,0,0.7071068
Floor_Small_01,-13.5,0,0,0,0,0,1
Roof_Angle_Smal_01,0,0,-9,0,-0.7071068,0,0.7071067
Roof_Angle_Smal_01,0,-9.179391E-07,-9,-0.5,-0.5000001,-0.5000001,0.5
Wall_Simple_01,-4.5,0,-13.5,0,-0.7071068,0,0.7071067
Wall_Simple_01,-4.5,-7.709606E-07,-13.5,-0.5,-0.5,-0.5000001,0.4999999
Floor_01,0,1.704744E-06,-9,-0.7071068,0,0,0.7071068
Floor_01,0,0,-9,0,0,0,1
Door_Left_01,-4.5,0,12,0,1,0,-1.629207E-07
Door_Left_01,-4.5,1.886315E-06,12,1.152023E-07,0.7071068,0.7071068,-1.152023E-07
red_square_drone_door (9),-44.96,2.510287,0.9899998,0,0.9085119,0,-0.417859
Floor_01,-18,1.704744E-06,6,-0.7071068,0,0,0.7071068
Floor_01,-18,0,6,0,0,0,1
Wall_HalfArc_90_02,-11.25,-2.754348E-07,-11.25,-0.4999999,0.5000001,0.5000001,0.4999999
Wall_HalfArc_90_02,-11.25,0,-11.25,0,0.7071068,0,0.7071067
Collider_01,-11.193,0,-11.265,0,0.8004594,0,-0.5993869
Collider_02,-13.2855,0,-12.456,0,0.4019478,0,0.9156626
Collider_03,-13.539,0,-13.4805,0,0.1276704,0,0.9918166
Floor_01,-9,0,-13.5,0,0,0,1
Floor_01,-9,1.704744E-06,-13.5,-0.7071068,0,0,0.7071068
Roof_01,-9,0,-13.5,-0.5,0.5000001,0.5000001,0.5
Roof_01,-9,0,-13.5,0,0.7071068,0,0.7071067
Door_Left_01,-51,1.886315E-06,10.5,-0.5000001,-0.5000001,-0.5000001,0.5000001
